filename,C1,C2,C3,C4,x0,gamma,ierr,message
rv31_bc6-wd01\cloudy\clumpy\rv31_bc6-wd01_cloudy_clumpy-s6.32456e+14-t0.2-m0.1-a1_global_lum.table.fits,0.02281653713125898,0.6905137637277334,1.7645423700919267,0.04075430979028173,4.581291314913297,0.9626878173906714,2,The relative error between two consecutive iterates is at most 0.000000
rv31_bc6-wd01\cloudy\clumpy\rv31_bc6-wd01_cloudy_clumpy-s6.32456e+14-t0.5-m0.1-a1_global_lum.table.fits,0.5167789037691619,0.5013916237986396,1.3660932882179355,-0.003965186860590514,4.568850204586665,1.0127754597206549,2,The relative error between two consecutive iterates is at most 0.000000
rv31_bc6-wd01\cloudy\clumpy\rv31_bc6-wd01_cloudy_clumpy-s6.32456e+14-t1.0-m0.1-a1_global_lum.table.fits,1.063892773105845,0.26801278841936377,0.7063441335645286,-0.014988084987362933,4.569553032001571,0.9814974671930212,2,The relative error between two consecutive iterates is at most 0.000000
rv31_bc6-wd01\cloudy\clumpy\rv31_bc6-wd01_cloudy_clumpy-s6.32456e+14-t10.0-m0.1-a1_global_lum.table.fits,1.0489383131192298,0.034983281015903187,0.08899426634957752,-0.0012448241783274568,4.597953454620609,1.0040559560298685,5,Number of calls to function has reached maxfev = 100.
rv31_bc6-wd01\cloudy\clumpy\rv31_bc6-wd01_cloudy_clumpy-s6.32456e+14-t2.2-m0.1-a1_global_lum.table.fits,1.2123921529432786,0.11508349725317508,0.30303830219706734,-0.010132085044316334,4.5653178980494395,0.9905588809630917,2,The relative error between two consecutive iterates is at most 0.000000
rv31_bc6-wd01\cloudy\clumpy\rv31_bc6-wd01_cloudy_clumpy-s6.32456e+14-t4.6-m0.1-a1_global_lum.table.fits,1.1260473358606498,0.054516907086239026,0.138863969192444,-0.004158112989426955,4.559324971987412,0.9793278287245132,2,The relative error between two consecutive iterates is at most 0.000000
rv31_bc6-wd01\cloudy\homo\rv31_bc6-wd01_cloudy_homo-s6.32456e+14-t0.1-m0.1-a1_global_lum.table.fits,-0.5124745052240067,0.8730847875410739,2.2333721025392763,0.10069444362925209,4.583703143415006,0.9648414319585297,2,The relative error between two consecutive iterates is at most 0.000000
rv31_bc6-wd01\cloudy\homo\rv31_bc6-wd01_cloudy_homo-s6.32456e+14-t0.2-m0.1-a1_global_lum.table.fits,-0.22059357278969066,0.775279310531447,2.0948075480684363,0.061565294348060295,4.57121822326996,0.9934920455393597,2,The relative error between two consecutive iterates is at most 0.000000
rv31_bc6-wd01\cloudy\homo\rv31_bc6-wd01_cloudy_homo-s6.32456e+14-t0.5-m0.1-a1_global_lum.table.fits,0.30037074914043266,0.5874472841481342,1.6126094479875746,0.01047457058257134,4.570588764340698,1.0078423254278992,2,The relative error between two consecutive iterates is at most 0.000000
rv31_bc6-wd01\cloudy\homo\rv31_bc6-wd01_cloudy_homo-s6.32456e+14-t1.0-m0.1-a1_global_lum.table.fits,0.9371475266234355,0.3381691605905325,0.91343541003241,-0.015205374889930285,4.567490625956064,0.9781524680276019,2,The relative error between two consecutive iterates is at most 0.000000
